Common_Name,Family,Scientific_Name,Threat_Level,US_Nativity
ivyleaf morning-glory,Convolvulaceae,Ipomoea hederacea Jacq.,2,Exotic
tall morning-glory,Convolvulaceae,Ipomoea purpurea (L.) Roth,2,Exotic
yellow iris,Iridaceae,Iris pseudacorus L.,2,Exotic
goldenrain tree,Sapindaceae,Koelreuteria paniculata Laxm.,2,Exotic
Korean lespedeza,Fabaceae (Leguminosae),Kummerowia stipulacea (Maxim.) Makino,2,Exotic
Japanese clover,Fabaceae (Leguminosae),Kummerowia striata (Thunb.) Schindl.,2,Exotic
willowleaf lettuce,Asteraceae,Lactuca saligna L.,2,Exotic
henbit,Lamiaceae,Lamium amplexicaule L.,2,Exotic
spotted deadnettle,Lamiaceae,Lamium maculatum L.,2,Exotic
purple deadnettle,Lamiaceae,Lamium purpureum L.,2,Exotic
shrubby lespedeza,Fabaceae (Leguminosae),Lespedeza bicolor Turcz.,2,Exotic
sericea lespedeza,Fabaceae (Leguminosae),Lespedeza cuneata (Dum.-Cours.) G. Don,2,Exotic
Thunberg lespedeza,Fabaceae (Leguminosae),Lespedeza thunbergii (DC.) Nakai,3,Exotic
oxeye daisy,Asteraceae,Leucanthemum vulgare Lam.,3,Exotic
Chinese privet,Oleaceae,Ligustrum sinense Lour.,3,Exotic
annual ryegrass,Poaceae,Lolium multiflorum Lam.,3,Exotic
Japanese honeysuckle,Caprifoliaceae,Lonicera japonica Thunb.,3,Exotic
Amur honeysuckle,Caprifoliaceae,Lonicera maackii (Rupr.) Herder,3,Exotic
Morrow's honeysuckle,Caprifoliaceae,Lonicera morrowii Gray,3,Exotic
Tatarian honeysuckle,Caprifoliaceae,Lonicera tatarica L.,3,Exotic
"showy fly honeysuckle, Bell's honeysuckle",Caprifoliaceae,Lonicera x bella Zabel [morrowii × tatarica],3,Exotic
birdsfoot trefoil,Fabaceae (Leguminosae),Lotus corniculatus L.,3,Exotic
"creeping yellow loosestrife, creeping Jenny",Primulaceae,Lysimachia nummularia L.,3,Exotic
purple loosestrife,Lythraceae,Lythrum salicaria L.,3,Exotic
leatherleaf mahonia,Berberidaceae,Mahonia bealei (Fortune) Carr.,3,Exotic
black medic,Fabaceae (Leguminosae),Medicago lupulina L.,3,Exotic
white sweetclover,Fabaceae (Leguminosae),Melilotus albus Medikus,3,Exotic
yellow sweet-clover,Fabaceae (Leguminosae),Melilotus officinalis (L.) Lam.,3,Exotic
spearmint,Lamiaceae,Mentha spicata L.,3,Exotic
peppermint,Lamiaceae,Mentha x piperita L. (pro sp.),3,Exotic
