Scientific_Name,Subject_Name,Family,US_Nativity
Spiraea japonica L. f.,Japanese spiraea,Rosaceae,Exotic
Stellaria media (L.) Vill.,common chickweed,Caryophyllaceae,Exotic
Thlaspi alliaceum L.,roadside pennycress,Brassicaceae,Exotic
Torilis arvensis (Huds.) Link,spreading hedgeparsley,Apiaceae,Exotic
Torilis japonica (Houtt.) DC.,"Japanese hedge-parsley, erect hedgeparsley",Apiaceae,Exotic
Trifolium campestre Schreb.,large hop clover,Fabaceae (Leguminosae),Exotic
Trifolium pratense L.,red clover,Fabaceae (Leguminosae),Exotic
Trifolium repens L.,white clover,Fabaceae (Leguminosae),Exotic
Tussilago farfara L.,coltsfoot,Asteraceae,Exotic
Typha x glauca Godr. [angustifolia x latifolia],hybrid cattail,Typhaceae,Native
Ulmus parvifolia Jacq.,Chinese elm,Ulmaceae,Exotic
Ulmus pumila L.,Siberian elm,Ulmaceae,Exotic
Verbascum thapsus L.,common mullein,Scrophulariaceae,Exotic
Viburnum opulus ssp. opulus Linnaeus,"cranberry viburnum, European highbush cranberry",Caprifoliaceae,Exotic
Vicia cracca L.,bird vetch,Fabaceae (Leguminosae),Exotic
Vicia sativa Linnaeus,common vetch,Fabaceae (Leguminosae),Exotic
Vicia villosa ssp. villosa Roth,winter vetch,Fabaceae (Leguminosae),Exotic
Vinca minor L.,common periwinkle,Apocynaceae,Exotic
Wisteria floribunda (Willd.) DC.,Japanese wisteria,Fabaceae (Leguminosae),Exotic
Wisteria sinensis (Sims) DC.,Chinese wisteria,Fabaceae (Leguminosae),Exotic
Wisteria x formosa [floribunda x sinensis],Wisteria floribunda x sinensis hybrid,Fabaceae (Leguminosae),Exotic
Zelkova serrata (Thunb.) Makino,Japanese zelkova,Ulmaceae,Exotic
